PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TWITTER_HANDLE,ACTIVE_TWITTER_LAST_YEAR
201566,Russell Westbrook,OKC,russwest44,1
1626246,Boban Marjanovic,DET,0,0
1627743,Demetrius Jackson,BOS,d_jay11,1
203076,Anthony Davis,NOP,antdavis23,1
201935,James Harden,HOU,jharden13,1
201142,Kevin Durant,GSW,KDTrey5,1
2544,LeBron James,CLE,KingJames,1
101108,Chris Paul,LAC,cp3,1
202326,DeMarcus Cousins,NOP,boogiecousins,1
203507,Giannis Antetokounmpo,MIL,giannis_an34,1
202695,Kawhi Leonard,SAS,kawhileonard,0
203954,Joel Embiid,PHI,JoelEmbiid,1
1626157,Karl-Anthony Towns,MIN,karltowns,1
203999,Nikola Jokic,DEN,jokicnikola15,1
202710,Jimmy Butler,CHI,jimmybutler,1
202355,Hassan Whiteside,MIA,youngwhiteside,1
203497,Rudy Gobert,UTA,rudygobert27,1
202738,Isaiah Thomas,BOS,isaiah_thomas,1
201144,Mike Conley,MEM,mconley11,1
203081,Damian Lillard,POR,Dame_Lillard,1
202330,Gordon Hayward,UTA,gordonhayward,1
201942,DeMar DeRozan,TOR,DeMar_DeRozan,1
1627762,Joel Bolomboy,UTA,bolomboy21,1
202683,Enes Kanter,OKC,enes_kanter,1
202322,John Wall,WAS,johnwall,1
201933,Blake Griffin,LAC,blakegriffin32,1
2216,Zach Randolph,MEM,MacBo50,1
2730,Dwight Howard,ATL,dwighthoward,1
201939,Stephen Curry,GSW,stephencurry30,1
201188,Marc Gasol,MEM,marcgasol,1
201599,DeAndre Jordan,LAC,deandre,1
201567,Kevin Love,CLE,kevinlove,1
200768,Kyle Lowry,TOR,klow7,1
2200,Pau Gasol,SAS,paugasol,1
202696,Nikola Vucevic,ORL,nikolavucevic,1
202339,Eric Bledsoe,PHX,ebled2,1
202328,Greg Monroe,MIL,m10ose,0
204002,Edy Tavares,CLE,waltertavares22,1
203962,Josh Huestis,OKC,jhuestis,1
202689,Kemba Walker,CHA,kembawalker,1
203083,Andre Drummond,DET,andredrummond,1
202685,Jonas Valanciunas,TOR,jvalanciunas,1
202331,Paul George,IND,yg_trece,1
202681,Kyrie Irving,CLE,kyrieirving,1
200826,J.J. Barea,DAL,jjbareapr,1
101150,Lou Williams,HOU,teamlou23,1
2744,Al Jefferson,IND,0,0
1626195,Willy Hernangomez,NYK,willyhg94,1
203124,Kyle O'Quinn,NYK,kyle_oquinn,1
202391,Jeremy Lin,BKN,JLin7,1
201952,Jeff Teague,IND,teague0,1
2199,Tyson Chandler,PHX,tysonchandler,1
203991,Clint Capela,HOU,capelaclint,1
201609,Goran Dragic,MIA,goran_dragic,1
2757,Beno Udrih,DET,benoudrih1,1
1627848,Shawn Long,PHI,shawnlong21,1
201588,George Hill,UTA,george_hill3,1
1626210,Alan Williams,PHX,alantwilliams,1
202344,Trevor Booker,BKN,35_fitz,1
203462,Archie Goodwin,BKN,a1laflare10,1
203457,Nerlens Noel,DAL,nerlensnoel3,1
200794,Paul Millsap,ATL,paulmillsap4,1
101135,David Lee,SAS,lee042,1
201143,Al Horford,BOS,al_horford,1
201580,JaVale McGee,GSW,javalemcgee34,1
203468,CJ McCollum,POR,cjmccollum,1
200752,Rudy Gay,SAC,0,0
1717,Dirk Nowitzki,DAL,swish41,1
201572,Brook Lopez,BKN,0,0
203087,Jeremy Lamb,CHA,jlamb,1
202702,Kenneth Faried,DEN,kennethfaried35,1
203473,Dewayne Dedmon,SAS,d_dedmon3,1
2561,David West,GSW,d_west30,1
101138,Brandon Bass,LAC,bestbetbass,1
200746,LaMarcus Aldridge,SAS,aldridge_12,1
203953,Jabari Parker,MIL,jabariparker,1
2548,Dwyane Wade,CHI,dwyanewade,1
201950,Jrue Holiday,NOP,jrue_holiday11,1
203950,Jarnell Stokes,DEN,jarnellstokes,1
201949,James Johnson,MIA,0,0
2555,Nick Collison,OKC,nickcollison4,1
203078,Bradley Beal,WAS,realdealbeal23,1
2546,Carmelo Anthony,NYK,carmeloanthony,1
201587,Nicolas Batum,CHA,nicolas88batum,1
201936,Tyreke Evans,SAC,tyrekeevans,1
203471,Dennis Schroder,ATL,DennisMike93,1
203110,Draymond Green,GSW,money23green,1
203994,Jusuf Nurkic,POR,bosnianbeast27,1
203901,Elfrid Payton,ORL,elfrid,1
1626158,Richaun Holmes,PHI,rich_holmes22,1
201563,Michael Beasley,MIL,easyst0,1
201148,Brandan Wright,MEM,bwright34,1
201937,Ricky Rubio,MIN,rickyrubio9,1
201578,Marreese Speights,LAC,mospeights16,1
201568,Danilo Gallinari,DEN,gallinari8888,1
203080,Thomas Robinson,LAL,trobinson0,1
202699,Tobias Harris,DET,tobias31,1
203944,Julius Randle,LAL,j30_randle,1
1627767,Cheick Diallo,NOP,cheick_diallo13,1
203084,Harrison Barnes,DAL,hbarnes,1
